2026-07-17T15:51:43.268Z,511e6ffe-4adf-432d-80f7-7b4069a921f8,CMSIS,DAstate,sessionEnd,,,,,,,
2026-07-17T15:51:56.761Z,511e6ffe-4adf-432d-80f7-7b4069a921f8,CMSIS,DAstate,sessionEnd,,,,,,,
timestamp,sessionId,scene,sceneState,kind,element,elementType,duration,actionType,sourceId,value,error
2026-07-17T15:51:56.763Z,18ef5dd7-2297-49a5-b4f4-88a051eaf024,CMSIS,DAstate,sessionEnd,,,,,,,
timestamp,sessionId,scene,sceneState,kind,element,elementType,duration,actionType,sourceId,value,error
2026-07-17T16:20:54.488Z,3acd2b59-9b9d-42c9-bd44-f8394b4f2404,,,sessionEnd,,,,,,,
timestamp,sessionId,scene,sceneState,kind,element,elementType,duration,actionType,sourceId,value,error
2026-07-17T16:20:54.490Z,ad08211a-204e-4d90-b0b8-fb6dc03f6c08,,,sessionEnd,,,,,,,
2026-07-17T16:20:56.306Z,ad08211a-204e-4d90-b0b8-fb6dc03f6c08,,,sessionEnd,,,,,,,
timestamp,sessionId,scene,sceneState,kind,element,elementType,duration,actionType,sourceId,value,error
2026-07-17T16:20:56.307Z,13c6c455-3e1a-4240-b1f8-0e61f4bed1fe,,,sessionEnd,,,,,,,
2026-07-17T16:21:02.880Z,13c6c455-3e1a-4240-b1f8-0e61f4bed1fe,,,sessionEnd,,,,,,,
timestamp,sessionId,scene,sceneState,kind,element,elementType,duration,actionType,sourceId,value,error
2026-07-17T16:21:02.881Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,,,sessionEnd,,,,,,,
2026-07-17T16:21:04.182Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,,,elementTap,AcademicProg,button,,,,,
2026-07-17T16:21:04.182Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,,,actionRun,AcademicProg,,,goToScene,,,
2026-07-17T16:21:04.183Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,AcademicProg,,sceneEnter,,,,,,,
2026-07-17T16:21:05.124Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,AcademicProg,,elementTap,ACADEMY_PY_BUTTON,button,,,,,
2026-07-17T16:21:05.124Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,AcademicProg,,actionRun,ACADEMY_PY_BUTTON,,,setState,,,
2026-07-17T16:21:05.125Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,AcademicProg,,stateExit,,,942,,,,
2026-07-17T16:21:06.536Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,AcademicProg,PythonState,elementTap,ACADEMY_OVERVIEW_BUTTON,button,,,,,
2026-07-17T16:21:06.536Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,AcademicProg,PythonState,actionRun,ACADEMY_OVERVIEW_BUTTON,,,setState,,,
2026-07-17T16:21:06.536Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,AcademicProg,PythonState,stateExit,,,1411,,,,
2026-07-17T16:21:07.103Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,AcademicProg,OverviewState,elementTap,ACADEMY_BOOK_BUTTON,button,,,,,
2026-07-17T16:21:07.103Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,AcademicProg,OverviewState,actionRun,ACADEMY_BOOK_BUTTON,,,setState,,,
2026-07-17T16:21:07.104Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,AcademicProg,OverviewState,stateExit,,,568,,,,
2026-07-17T16:21:07.700Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,AcademicProg,TextbookState,elementTap,ACADEMY_PY_BUTTON,button,,,,,
2026-07-17T16:21:07.700Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,AcademicProg,TextbookState,actionRun,ACADEMY_PY_BUTTON,,,setState,,,
2026-07-17T16:21:07.700Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,AcademicProg,TextbookState,stateExit,,,596,,,,
2026-07-17T16:21:12.158Z,06201ffb-7735-42db-838c-f51d0ad3c3a6,AcademicProg,PythonState,sessionEnd,,,,,,,
timestamp,sessionId,scene,sceneState,kind,element,elementType,duration,actionType,sourceId,value,error
2026-07-17T16:21:12.160Z,dc4dc7c9-0933-4c9c-af34-f83f239bd7a4,AcademicProg,PythonState,sessionEnd,,,,,,,
timestamp,sessionId,scene,sceneState,kind,element,elementType,duration,actionType,sourceId,value,error
2026-07-17T16:38:55.995Z,a0facb68-7ed0-4f98-8211-39506ac04d7e,,,sessionEnd,,,,,,,
timestamp,sessionId,scene,sceneState,kind,element,elementType,duration,actionType,sourceId,value,error
2026-07-17T16:38:55.998Z,a58bc85c-62c8-4979-933a-de694dc7e653,,,sessionEnd,,,,,,,
2026-07-17T16:38:57.148Z,a58bc85c-62c8-4979-933a-de694dc7e653,,,elementTap,VSCode,button,,,,,
2026-07-17T16:38:57.149Z,a58bc85c-62c8-4979-933a-de694dc7e653,,,actionRun,VSCode,,,goToScene,,,
2026-07-17T16:38:57.149Z,a58bc85c-62c8-4979-933a-de694dc7e653,VsCode,,sceneEnter,,,,,,,
2026-07-17T16:38:58.248Z,a58bc85c-62c8-4979-933a-de694dc7e653,VsCode,,elementTap,CMSIS,button,,,,,
2026-07-17T16:38:58.248Z,a58bc85c-62c8-4979-933a-de694dc7e653,VsCode,,actionRun,CMSIS,,,goToScene,,,
2026-07-17T16:38:58.248Z,a58bc85c-62c8-4979-933a-de694dc7e653,VsCode,,sceneExit,,,1099,,,,
2026-07-17T16:38:58.248Z,a58bc85c-62c8-4979-933a-de694dc7e653,AI Assist VScode,,sceneEnter,,,,,,,
2026-07-17T16:39:02.096Z,a58bc85c-62c8-4979-933a-de694dc7e653,AI Assist VScode,,elementTap,VSAI_HOME_BUTTON,button,,,,,
2026-07-17T16:39:02.096Z,a58bc85c-62c8-4979-933a-de694dc7e653,AI Assist VScode,,actionRun,VSAI_HOME_BUTTON,,,goToScene,,,
2026-07-17T16:39:02.096Z,a58bc85c-62c8-4979-933a-de694dc7e653,AI Assist VScode,,sceneExit,,,3848,,,,
2026-07-17T16:39:02.096Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneEnter,,,,,,,
2026-07-17T16:39:03.628Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,elementTap,CMSIS,button,,,,,
2026-07-17T16:39:03.629Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,actionRun,CMSIS,,,goToScene,,,
2026-07-17T16:39:03.629Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneExit,,,1533,,,,
2026-07-17T16:39:03.629Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,,sceneEnter,,,,,,,
2026-07-17T16:39:04.932Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,,elementTap,CMSIS_NANO_BUTTON,button,,,,,
2026-07-17T16:39:04.932Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,,actionRun,CMSIS_NANO_BUTTON,,,setState,,,
2026-07-17T16:39:04.933Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,,stateExit,,,1304,,,,
